               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.027119,            0.011715,                   0,             0.92689,             0.85898,             0.91943,             0.56573,            0.032788,            0.006188,                   0,           0.0092872,           0.0092872,           0.0092872
                  38,            0.027938,            0.012196,                   0,              0.9701,             0.87936,             0.93584,             0.54511,            0.034216,           0.0061506,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.027486,            0.011911,                   0,             0.94037,             0.86992,             0.91179,             0.54142,            0.036012,           0.0063843,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,             0.02684,            0.012379,                   0,             0.93539,              0.8374,             0.91485,             0.54704,             0.03486,            0.006848,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.027535,            0.011887,                   0,             0.91396,             0.82114,             0.89683,             0.49312,            0.036287,           0.0074176,                   0,            0.009208,            0.009208,            0.009208
                  42,             0.02676,             0.01199,                   0,             0.91052,             0.85489,             0.90838,             0.52437,            0.034874,           0.0070426,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.026919,            0.012152,                   0,             0.90192,             0.88076,             0.91546,             0.51671,            0.034746,           0.0065201,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,             0.02634,            0.011497,                   0,             0.90124,             0.87534,             0.91673,             0.54341,            0.032876,           0.0072037,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.026064,            0.011583,                   0,             0.91726,             0.84128,             0.90969,             0.53757,            0.033291,           0.0068187,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.026753,            0.011729,                   0,             0.89334,             0.86257,             0.91741,             0.56201,            0.033206,           0.0062315,                   0,            0.009109,            0.009109,            0.009109
                  47,             0.02588,             0.01174,                   0,             0.91907,             0.80016,             0.89857,             0.53145,            0.036847,           0.0069835,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.025707,            0.011325,                   0,             0.86868,             0.84011,             0.90113,             0.49538,            0.036687,           0.0072387,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,            0.025743,            0.011459,                   0,             0.90143,             0.85095,             0.89933,             0.52035,            0.035595,           0.0071267,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.026528,            0.011625,                   0,             0.93671,             0.86721,             0.91208,             0.51645,            0.035149,           0.0065847,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.026501,            0.011283,                   0,             0.93256,             0.86179,             0.91508,             0.55223,            0.033533,           0.0067244,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.025654,             0.01147,                   0,             0.91826,             0.86179,              0.9207,             0.56846,            0.033157,           0.0065097,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.025422,            0.011647,                   0,             0.89168,             0.84769,             0.90334,              0.5364,            0.034599,           0.0071314,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.025855,            0.011702,                   0,             0.90784,             0.86721,              0.9061,             0.51614,            0.035003,           0.0070957,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.025323,            0.011579,                   0,              0.9328,             0.82762,             0.90938,             0.54358,            0.036195,           0.0069552,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.025261,             0.01123,                   0,             0.92788,             0.80194,             0.91417,             0.53348,            0.033872,           0.0070223,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.025221,             0.01131,                   0,             0.90105,             0.81843,             0.89939,             0.53492,            0.036086,             0.00736,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.024934,            0.011125,                   0,             0.94293,             0.84282,              0.9164,             0.53988,            0.034304,           0.0068363,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.024863,            0.010956,                   0,             0.85541,             0.82927,             0.86407,             0.49541,            0.039095,           0.0074292,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.025488,            0.011181,                   0,             0.90395,             0.84282,             0.90429,             0.49357,            0.036587,           0.0071511,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.025344,            0.011173,                   0,              0.9207,             0.88889,             0.92676,             0.55074,            0.033696,           0.0068196,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.025248,            0.011453,                   0,             0.87976,             0.86721,             0.90409,             0.51195,            0.036611,           0.0073993,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,             0.02497,            0.011193,                   0,             0.88859,              0.8374,             0.88692,             0.52005,            0.034375,           0.0073861,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.025147,            0.011205,                   0,             0.93565,             0.86695,             0.93284,             0.54832,            0.033023,           0.0071278,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.025065,            0.011272,                   0,              0.9422,             0.82656,             0.92396,             0.52981,            0.033542,           0.0070754,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.024049,             0.01105,                   0,             0.94696,             0.84282,             0.91432,             0.54821,            0.033479,           0.0070328,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.024291,            0.011186,                   0,             0.89941,              0.8723,             0.91366,             0.55386,            0.033426,           0.0066838,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.024502,            0.011756,                   0,             0.93952,             0.84193,             0.92442,             0.53821,            0.035282,           0.0073731,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,            0.024468,              0.0108,                   0,             0.96279,             0.85366,             0.92021,              0.5415,            0.035345,           0.0067736,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.024058,            0.010831,                   0,             0.88012,             0.82927,             0.88014,             0.54679,            0.035543,           0.0070357,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.023606,            0.010427,                   0,             0.90913,             0.82385,             0.89173,             0.53257,              0.0349,           0.0074795,                   0,            0.008614,            0.008614,            0.008614
                  72,            0.023432,            0.010867,                   0,             0.92006,             0.83469,             0.90254,             0.53306,            0.036014,           0.0070735,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.023415,            0.010528,                   0,             0.92189,             0.84282,             0.89814,              0.5261,            0.034641,           0.0073893,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.023196,            0.010679,                   0,             0.94068,             0.84824,               0.905,             0.53535,            0.035627,           0.0073276,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,            0.023442,            0.010661,                   0,              0.9547,             0.85676,             0.92027,             0.55519,            0.034904,           0.0073192,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,            0.024066,            0.010712,                   0,             0.90603,             0.86224,             0.92041,             0.54238,            0.034339,           0.0070776,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.024333,            0.010719,                   0,             0.91524,             0.82927,             0.88636,              0.5168,            0.035851,           0.0069439,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.023385,            0.010661,                   0,             0.90943,             0.84352,             0.89621,             0.51927,            0.035697,            0.007332,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.023418,            0.010866,                   0,             0.91068,             0.82656,             0.89453,             0.54323,            0.035266,           0.0070628,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,            0.023832,            0.010734,                   0,             0.89646,             0.84824,             0.90509,             0.53525,             0.03548,           0.0071701,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,             0.02319,            0.010622,                   0,             0.90879,             0.85095,             0.90395,             0.52765,            0.034898,           0.0076969,                   0,            0.008416,            0.008416,            0.008416
                  82,            0.023031,              0.0107,                   0,             0.90688,             0.82385,             0.90339,             0.54282,            0.036719,           0.0071843,                   0,           0.0083962,           0.0083962,           0.0083962
